FleetCode,GearGrpCode,ReDate,Lat,Lon
EU.ESP,TROL,2012-06-16,43.585,-2.085
EU.ESP,TROL,2012-06-16,43.58166667,-2.121666667
EU.ESP,TROL,2012-06-16,43.58166667,-2.146666667
EU.ESP,TROL,2012-06-16,43.58166667,-2.146666667
EU.ESP,TROL,2012-06-16,43.58,-2.213333333
EU.ESP,TROL,2012-06-16,43.58,-2.213333333
EU.ESP,TROL,2012-06-16,43.59833333,-2.27
EU.ESP,TROL,2012-06-16,43.59833333,-2.27
EU.ESP,TROL,2012-06-16,43.585,-2.176666667
EU.ESP,TROL,2012-06-16,43.57,-2.093333333
EU.ESP,TROL,2012-06-16,43.56833333,-1.968333333
EU.ESP,TROL,2012-06-16,43.56833333,-1.968333333
EU.ESP,TROL,2012-06-16,43.55833333,-1.888333333
EU.ESP,TROL,2012-06-17,43.57,-1.95
EU.ESP,TROL,2012-06-17,43.57333333,-1.951666667
EU.ESP,TROL,2012-06-17,43.60833333,-2.093333333
EU.ESP,TROL,2012-06-17,43.60833333,-2.093333333
EU.ESP,TROL,2012-06-24,43.6,-1.865
EU.ESP,TROL,2012-06-24,43.605,-1.878333333
EU.ESP,TROL,2012-06-24,43.615,-1.791666667
EU.ESP,TROL,2012-06-24,43.60333333,-1.76
EU.ESP,TROL,2012-07-15,43.605,-1.826666667
EU.ESP,TROL,2011-07-15,43.92,-1.87
EU.ESP,TROL,2011-07-15,43.58,-1.87
EU.ESP,TROL,2011-07-15,43.58,-1.87
EU.ESP,SPOR,2011-08-05,40.95,0.983333333
EU.ESP,TROL,2011-07-15,43.58,-1.87
EU.ESP,SPOR,2011-08-05,40.95,0.983333333
EU.ESP,SPOR,2010-07-03,40.56666667,3.466666667
EU.ESP,SPOR,2011-08-05,40.95,0.983333333
EU.ESP,TROL,2011-07-23,43.52,-1.97
EU.ESP,TROL,2011-07-23,43.52,-1.97
EU.ESP,TROL,2011-07-23,43.52,-1.97
EU.ESP,TROL,2011-07-23,43.558,-2.01
EU.ESP,TROL,2011-07-23,43.558,-2.01
EU.ESP,TROL,2011-07-23,43.558,-2.01
EU.ESP,TROL,2011-07-23,43.558,-2.01
EU.ESP,TROL,2011-07-23,43.585,-2.1
EU.ESP,TROL,2011-07-23,43.547,-2.13
EU.ESP,TROL,2011-07-23,43.547,-2.13
EU.ESP,TROL,2011-07-23,43.547,-2.01
EU.ESP,TROL,2011-07-23,43.558,-2.01
EU.ESP,TROL,2011-07-23,43.558,-2.01
EU.ESP,TROL,2011-07-23,43.558,-2.01
EU.ESP,TROL,2014-06-22,43.52833333,-1.755
EU.FRA,SPOR,2011-08-02,43.21666667,4.7
EU.FRA,SPOR,2011-06-16,43.3,4.616666667
EU.FRA,SPOR,2011-07-29,43.25,4.883333333
EU.FRA,UNCL,,,
EU.ESP,TROL,2015-10-03,43.61666667,-1.816666667
EU.ESP,TROL,2015-10-03,43.46666667,-1.816666667
EU.ESP,TROL,2015-10-03,43.45,-1.816666667
EU.ESP,TROL,2015-10-03,43.45,-1.816666667
EU.ESP,TROL,2012-07-21,43.63333333,-1.883333333
EU.ESP,TROL,2012-07-21,43.63333333,-1.816666667
EU.ESP,TROL,2012-07-21,43.63333333,-1.816666667
EU.ESP,TROL,2013-07-13,43.58333333,-2.05
EU.ESP,TROL,2013-07-13,43.55,-2.066666667
EU.ESP,TROL,2013-07-13,43.53333333,-2.05
EU.ESP,TROL,2013-07-13,43.53333333,-2
EU.ESP,TROL,2013-07-13,43.51666667,-1.983333333
EU.ESP,TROL,2014-08-06,43.41666667,-1.95
EU.ESP,TROL,2013-07-20,43.55,-2.05
EU.ESP,TROL,2016-07-27,43.56666667,-2.083333333
EU.ESP,TROL,2016-07-27,43.53333333,-2.083333333
EU.ESP,TROL,2016-07-30,43.55,-2.05
EU.ESP,TROL,2016-07-30,43.61666667,-2.216666667
EU.ESP,TROL,2016-07-30,43.55,-2.016666667
EU.ESP,TROL,2012-07-14,43.6295,-3.766666667
EU.ESP,TROL,2012-06-30,43.47816667,-1.875
EU.ESP,TROL,2012-06-30,43.47816667,-1.875
EU.ESP,TROL,2012-06-30,43.49033333,-1.884233333
EU.ESP,TROL,2012-06-30,43.6195,-1.850666667
EU.ESP,TROL,2012-06-30,43.612,-1.8585
EU.ESP,TROL,2012-06-30,43.612,-1.8935
EU.ESP,TROL,2012-06-30,43.62,-1.8715
EU.ESP,TROL,2012-06-30,43.62,-1.8715
EU.ESP,TROL,2012-06-30,43.61783333,-1.873333333
EU.ESP,TROL,2012-06-30,43.61683333,-1.871666667
EU.ESP,TROL,2012-06-30,43.617,-1.866
EU.ESP,TROL,2012-06-30,43.60166667,-1.8675
EU.ESP,TROL,2012-07-07,43.522,-1.884666667
EU.ESP,TROL,2012-07-07,43.61783333,-1.867833333
EU.ESP,TROL,2012-07-07,43.61466667,-1.868166667
EU.ESP,TROL,2012-07-07,43.61983333,-1.886333333
EU.ESP,TROL,2012-07-07,43.61933333,-1.871333333
EU.ESP,TROL,2012-07-21,43.55633333,-1.937833333
EU.ESP,TROL,2012-07-21,43.57666667,-1.94555
EU.ESP,TROL,2016-06-25,43.59578333,-1.979438333
EU.ESP,TROL,2016-06-25,43.59708333,-1.980683333
EU.ESP,TROL,2011-10-15,43.56,-1.8
EU.ESP,TROL,2011-10-15,43.56,-1.81
EU.ESP,TROL,2014-06-24,43.37833333,-1.938333333
EU.ESP,TROL,2014-08-03,43.41833333,-1.941666667
